"Feature name","Data Type","Feature Desciption","used"
"rx_perphy_pmpm_ct","float","number of physicians per month associated with pharmacies in the past one year","yes"
"rx_hum_29_pmpm_cost","float","cost per month of prescriptions related to COUGH/ COLD/ ALLERGY drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_ansth_pmpm_cd_ct","float","claim lines per month for a revenue code related to anesthesiology in the past one year","yes"
"rx_hum_31_pmpm_ct","float","count per month of prescriptions related to DERMATOLOGY - ACNE drugs in the past one year {Based on Humana drug classification}","no"
"bh_ndot_pmpm_ct","float","count per month of behavioral health claims related to other neuro development disorder in the past one year","no"
"cmsd2_end_malnut_pmpm_ct","float","claims per month related to endocrine, nutritional and metabolic diseases : malnutrition in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_eye_eye_postop_pmpm_ct","float","claims per month related to diseases of the eye and adnexa : intraoperative and postprocedural complications and disorders of eye and adnexa, not elsewhere classified in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_skn_papulosquamous_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : papulosquamous disorders in the past one year {based on CMS diagnosis code level2}","no"
"cnt_cp_webstatement_6","integer","count per month of member interactions via webstatement with a lag of _6 from the score date in the past one year","yes"
"cnt_cp_livecall_6","integer","count per month of member interactions via livecall with a lag of _6 from the score date in the past one year","no"
"cnt_cp_webstatement_4","integer","count per month of member interactions via webstatement with a lag of _4 from the score date in the past one year","yes"
"rx_hum_88_pmpm_cost","float","cost per month of prescriptions related to STEROIDS - ANDROGENS drugs in the past one year {Based on Humana drug classification}","no"
"rev_pm_respit_pmpm_cd_ct","float","claim lines per month for a revenue code related to respite care in the past one year","no"
"rx_nonspecialty_pmpm_cost","float","cost per month of prescriptions related to nonspecialty drugs in the past one year","yes"
"bh_ncdm_pmpm_ct","float","count per month of behavioral health claims related to nc dementia in the past one year","no"
"rx_hum_06_pmpm_ct","float","count per month of prescriptions related to ANTICONVULSANTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd2_ext_fall_pmpm_ct","float","claims per month related to external causes of morbidity : slipping, tripping, stumbling and falls in the past one year {based on CMS diagnosis code level2}","no"
"rx_hum_66_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - AMD/DME AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_84_pmpm_cost","float","cost per month of prescriptions related to RESPIRATORY - IPF AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_77_pmpm_cost","float","cost per month of prescriptions related to PAIN MGMT - NSAID AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"cmsd1_sns_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified in the past one year {based on CMS diagnosis code level1}","yes"
"rx_tier_4_pmpm_ct","float","count per month of prescriptions related to Tier 4 drugs in the past one year","yes"
"cmsd2_skn_skn_other_pmpm_ct","float","claims per month related to diseases of the skin and subcutaneous tissue : other disorders of the skin and subcutaneous tissue in the past one year {based on CMS diagnosis code level2}","yes"
"rx_hum_65_pmpm_ct","float","count per month of prescriptions related to OPHTHALMOLOGY - ALLERGY AGENTS drugs in the past one year {Based on Humana drug classification}","no"
"rx_hum_51_pmpm_ct","float","count per month of prescriptions related to IMPOTENCE drugs in the past one year {Based on Humana drug classification}","no"
"total_urgent_care_ds_clm","integer","days since last claim for overall claims related to urgent care in the past one year","no"
"rx_hum_87_pmpm_ct","float","count per month of prescriptions related to STEROIDS drugs in the past one year {Based on Humana drug classification}","no"
"cci_ren_m_pmpm_ct","float","count per month of claims related to mild renal disease in the past one year {Based on Charlson Comorbidity Index Categories}","no"
"cmsd2_ext_nature_pmpm_ct","float","claims per month related to external causes of morbidity : exposure to forces of nature in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_gus_m_genital_pmpm_ct","float","claims per month related to diseases of the genitourinary system : diseases of male genital organs in the past one year {based on CMS diagnosis code level2}","no"
"atlas_totalpopacs","double","Total population, 5-year average","yes"
"cmsd2_neo_neo_other_pmpm_ct","float","claims per month related to certain conditions originating in the perinatal period : other problems with newborn in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_dig_hernia_pmpm_ct","float","claims per month related to diseases of the digestive system : hernia in the past one year {based on CMS diagnosis code level2}","no"
"cmsd2_sns_blood_pmpm_ct","float","claims per month related to symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified : abnormal findings on examination of blood, without diagnosis in the past one year {based on CMS diagnosis code level2}","yes"
"cmsd2_ext_compl_medical_care_pmpm_ct","float","claims per month related to external causes of morbidity : misadventures to patients during surgical and medical care in the past one year {based on CMS diagnosis code level2}","no"
"rwjf_food_env_inx","float","Health Behaviors - Index of factors that contribute to a healthy food environment, 0 (worst) to 10 (best)","yes"
"atlas_snapspth16","double","SNAP-authorized stores/1,000 pop","yes"
"hi_flag","integer","housing insecurity flag","yes"
